C1, R1, V1
0,0.0002, -0.0002, -0.0002
0.01,0.000218837, -0.000218837, -0.000218837
0.02,0.0002376, -0.0002376, -0.0002376
0.03,0.000256214, -0.000256214, -0.000256214
0.04,0.000274607, -0.000274607, -0.000274607
0.05,0.000292705, -0.000292705, -0.000292705
0.06,0.000310437, -0.000310437, -0.000310437
0.07,0.000327734, -0.000327734, -0.000327734
0.08,0.000344526, -0.000344526, -0.000344526
0.09,0.000360748, -0.000360748, -0.000360748
0.1,0.000376335, -0.000376335, -0.000376335
0.11,0.000391227, -0.000391227, -0.000391227
0.12,0.000405364, -0.000405364, -0.000405364
0.13,0.00041869, -0.00041869, -0.00041869
0.14,0.000431153, -0.000431153, -0.000431153
0.15,0.000442705, -0.000442705, -0.000442705
0.16,0.000453298, -0.000453298, -0.000453298
0.17,0.000462891, -0.000462891, -0.000462891
0.18,0.000471447, -0.000471447, -0.000471447
0.19,0.000478932, -0.000478932, -0.000478932
0.2,0.000485316, -0.000485316, -0.000485316
0.21,0.000490574, -0.000490574, -0.000490574
0.22,0.000494685, -0.000494685, -0.000494685
0.23,0.000497633, -0.000497633, -0.000497633
0.24,0.000499407, -0.000499407, -0.000499407
0.25,0.000499999, -0.000499999, -0.000499999
0.26,0.000499407, -0.000499407, -0.000499407
0.27,0.000497633, -0.000497633, -0.000497633
0.28,0.000494685, -0.000494685, -0.000494685
0.29,0.000490574, -0.000490574, -0.000490574
0.3,0.000485316, -0.000485316, -0.000485316
0.31,0.000478932, -0.000478932, -0.000478932
0.32,0.000471447, -0.000471447, -0.000471447
0.33,0.000462891, -0.000462891, -0.000462891
0.34,0.000453297, -0.000453297, -0.000453297
0.35,0.000442704, -0.000442704, -0.000442704
0.36,0.000431152, -0.000431152, -0.000431152
0.37,0.000418689, -0.000418689, -0.000418689
0.38,0.000405363, -0.000405363, -0.000405363
0.39,0.000391226, -0.000391226, -0.000391226
0.4,0.000376334, -0.000376334, -0.000376334
0.41,0.000360746, -0.000360746, -0.000360746
0.42,0.000344524, -0.000344524, -0.000344524
0.43,0.000327732, -0.000327732, -0.000327732
0.44,0.000310436, -0.000310436, -0.000310436
0.45,0.000292703, -0.000292703, -0.000292703
0.46,0.000274605, -0.000274605, -0.000274605
0.47,0.000256212, -0.000256212, -0.000256212
0.48,0.000237598, -0.000237598, -0.000237598
0.49,0.000218835, -0.000218835, -0.000218835
0.5,0.000199998, -0.000199998, -0.000199998
0.51,0.000181161, -0.000181161, -0.000181161
0.52,0.000162398, -0.000162398, -0.000162398
0.53,0.000143784, -0.000143784, -0.000143784
0.54,0.000125391, -0.000125391, -0.000125391
0.55,0.000107293, -0.000107293, -0.000107293
0.56,8.95606e-05, -8.95606e-05, -8.95606e-05
0.57,7.22641e-05, -7.22641e-05, -7.22641e-05
0.58,5.54718e-05, -5.54718e-05, -5.54718e-05
0.59,3.92499e-05, -3.92499e-05, -3.92499e-05
0.6,2.36623e-05, -2.36623e-05, -2.36623e-05
0.61,8.77073e-06, -8.77073e-06, -8.77073e-06
0.62,-5.36621e-06, 5.36621e-06, 5.36621e-06
0.63,-1.86927e-05, 1.86927e-05, 1.86927e-05
0.64,-3.1156e-05, 3.1156e-05, 3.1156e-05
0.65,-4.27072e-05, 4.27072e-05, 4.27072e-05
0.66,-5.33004e-05, 5.33004e-05, 5.33004e-05
0.67,-6.28941e-05, 6.28941e-05, 6.28941e-05
0.68,-7.14502e-05, 7.14502e-05, 7.14502e-05
0.69,-7.8935e-05, 7.8935e-05, 7.8935e-05
0.7,-8.5319e-05, 8.5319e-05, 8.5319e-05
0.71,-9.0577e-05, 9.0577e-05, 9.0577e-05
0.72,-9.46882e-05, 9.46882e-05, 9.46882e-05
0.73,-9.76364e-05, 9.76364e-05, 9.76364e-05
0.74,-9.941e-05, 9.941e-05, 9.941e-05
0.75,-0.000100002, 0.000100002, 0.000100002
0.76,-9.941e-05, 9.941e-05, 9.941e-05
0.77,-9.76364e-05, 9.76364e-05, 9.76364e-05
0.78,-9.46881e-05, 9.46881e-05, 9.46881e-05
0.79,-9.05769e-05, 9.05769e-05, 9.05769e-05
0.8,-8.53189e-05, 8.53189e-05, 8.53189e-05
0.81,-7.89349e-05, 7.89349e-05, 7.89349e-05
0.82,-7.145e-05, 7.145e-05, 7.145e-05
0.83,-6.28939e-05, 6.28939e-05, 6.28939e-05
0.84,-5.33003e-05, 5.33003e-05, 5.33003e-05
0.85,-4.2707e-05, 4.2707e-05, 4.2707e-05
0.86,-3.11559e-05, 3.11559e-05, 3.11559e-05
0.87,-1.86925e-05, 1.86925e-05, 1.86925e-05
0.88,-5.36603e-06, 5.36603e-06, 5.36603e-06
0.89,8.7709e-06, -8.7709e-06, -8.7709e-06
0.9,2.36625e-05, -2.36625e-05, -2.36625e-05
0.91,3.92501e-05, -3.92501e-05, -3.92501e-05
0.92,5.5472e-05, -5.5472e-05, -5.5472e-05
0.93,7.22643e-05, -7.22643e-05, -7.22643e-05
0.94,8.95607e-05, -8.95607e-05, -8.95607e-05
0.95,0.000107293, -0.000107293, -0.000107293
0.96,0.000125391, -0.000125391, -0.000125391
0.97,0.000143784, -0.000143784, -0.000143784
0.98,0.000162398, -0.000162398, -0.000162398
0.99,0.000181161, -0.000181161, -0.000181161
1,0.000199998, -0.000199998, -0.000199998
1.01,0.000218835, -0.000218835, -0.000218835
1.02,0.000237598, -0.000237598, -0.000237598
1.03,0.000256212, -0.000256212, -0.000256212
1.04,0.000274605, -0.000274605, -0.000274605
1.05,0.000292703, -0.000292703, -0.000292703
1.06,0.000310435, -0.000310435, -0.000310435
1.07,0.000327732, -0.000327732, -0.000327732
1.08,0.000344524, -0.000344524, -0.000344524
1.09,0.000360746, -0.000360746, -0.000360746
1.1,0.000376333, -0.000376333, -0.000376333
1.11,0.000391225, -0.000391225, -0.000391225
1.12,0.000405362, -0.000405362, -0.000405362
1.13,0.000418688, -0.000418688, -0.000418688
1.14,0.000431151, -0.000431151, -0.000431151
1.15,0.000442703, -0.000442703, -0.000442703
1.16,0.000453296, -0.000453296, -0.000453296
1.17,0.000462889, -0.000462889, -0.000462889
